,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Edition:,Notes:,Series:,Scale:
476,['Text'],"['RE0000693814 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Mar66  ']",[],"['Sanborn Map Kankakey, IL, 1966.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Kankakey, IL, 1966.']","['Kankakey,IL']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[]
477,['Text'],"['RE0000758398 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']",[],"['Sanborn Map Kansas City, Kansas 1968.  Vol. 1.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Kansas City, Kansas 1968.']","['Kansas City, Kansas 1968']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
478,['Text'],"['RE0000752228 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1969-01-01  ']",[],"['Sanborn Map Kansas City, Missouri 1969.  Vol. 1.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Kansas City, Missouri 1969.']","['Kansas City, Missouri 1969']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
479,['Text'],"['RE0000752819 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB approx. 1Apr69  ']",[],"['Sanborn map, Kenosha, Wisconsin.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn map, Kenosha, Wisconsin']","['Kenosha, Wisconsin']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
480,['Text'],"['RE0000755207 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1May65  ']",[],"['Sanborn Map Kerrville, Texas 1965.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Kerrville, Texas 1965.']","['Kerrville, Texas 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
481,['Text'],"['RE0000758381 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan66  ']",[],"['Sanborn Map Kewanee, Illinois 1966.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Kewanee, Illinois 1966.']","['Kewanee, Illinois 1966']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
482,['Text'],"['RE0000755206 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Nov68  ']",[],"['Sanborn Map Kingsville, Texas 1968.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Kingsville, Texas 1968.']","['Kingsville, Texas 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
483,['Text'],"['RE0000752227 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1968-05-01  ']",[],"['Sanborn Map Kirkwood, Missouri 1968.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Kirkwood, Missouri 1968.']","['Kirkwood, Missouri 1968']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
484,['Text'],"['RE0000754328 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']",[],"['Sanborn Map Klamath Falls, Oregon 1969.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc.  (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Klamath Falls, Oregon 1969.']","['Klamath Falls, Oregon 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
485,['Text'],"['RE0000755260 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan64  ']",[],"['Sanborn Map Knoxville, Tennessee 1964.  Vols. 1A, 2.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Knoxville, Tennessee 1964']","['Knoxville, Tennessee 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
