,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Imprint:,Description:,Notes:,Copyright Claimant:,Date of Creation:,Date of Publication:,Previous Registration:,Basis of Claim:,Variant title:,Other Title:,Names:,Series:,Copyright Note:,Authorship on Application:,Edition:
0,['Map'],['VA0000901207 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, stockyards, grainyards.']","['Chicago, Illinois : stockyards, grain elevators, 1901.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : stockyards, grain elevators, 1901.']","['EDR Sanborn Color digital maps--Chicago, IL, stockyards, grainyards.']","['EDR Sanborn, Inc.']",[],[],[],[]
1,['Map'],['VA0000901208 / 1998-06-22 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. 10, 1896.']","['Chicago, Illinois : vol. 10, 1896.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-06-01  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. 10, 1896.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. 10, 1896.']","['EDR Sanborn, Inc.']",[],[],[],[]
2,['Map'],['VA0000901213 / 1998-06-22 '],"['EDR Sanborn Color digital maps--Chicago, vol. 8, 1914.']","['Chicago, Illinois : vol. 8, 1914.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-06-01  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. 8, 1914.']","['EDR Sanborn Color digital maps--Chicago, vol. 8, 1914.']","['EDR Sanborn, Inc.']",[],[],[],[]
3,['Map'],['VA0000901188 / 1998-06-22 '],"['EDR Sanborn Color digital maps--Chicago, vol. 9, 1894.']","['Chicago, Illinois : vol. 9, 1894.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-06-01  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. 9, 1894.']","['EDR Sanborn Color digital maps--Chicago, vol. 9, 1894.']","['EDR Sanborn, Inc.']",[],[],[],[]
4,['Map'],['VA0000901205 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. 1, 1906.']","['Chicago, Illinois : vol. A, 1894, vol. 1, 1906.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. A, 1894, vol. 1, 1906.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. 1, 1906.']","['EDR Sanborn, Inc.']",[],[],[],[]
5,['Map'],['VA0000901206 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. B, 1896.']","['Chicago, Illinois : vol. B, 1896.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. B, 1896.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. B, 1896.']","['EDR Sanborn, Inc.']",[],[],[],[]
6,['Map'],['VA0000901189 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. C, 1895.']","['Chicago, Illinois : vol. C, 1895.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. C, 1895.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. C, 1895.']","['EDR Sanborn, Inc.']",[],[],[],[]
7,['Text'],"['RE0000752221 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1967-09-01  ']",[],"['Adrian, Michigan, 1967.  By Sanborn Map Company.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Adrian, Michigan, 1967']",['Sanborn Map Company'],"['EDR Sanborn, Inc.']",['Sanborn map'],[],[],[]
8,['Map'],['VAu000367487 / 1997-05-05 '],['Digital Sanborn maps for Alabama.'],"['Alabama : vol. CD139 / Environmental Data Resources, Inc.']",['Alabama'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc. (employer for hire)']",['1996'],[],['Preexisting material: prev. pub. maps.'],['New Matter: editing and new organization of maps.'],[],"['Sanborn maps', 'Digital Sanborn maps for Alabama.']","['Environmental Data Resources, Inc.', 'EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
9,['Map'],['VAu000367489 / 1997-05-05 '],['Digital Sanborn maps for Alaska.'],"['Alaska : vol. CD195 / Environmental Data Resources, Inc.']",['Alaska'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc. (employer for hire)']",['1996'],[],['Preexisting material: prev. pub. maps.'],['New Matter: editing and new organization of maps.'],[],"['Sanborn maps', 'Digital Sanborn maps for Alaska.']","['Environmental Data Resources, Inc.', 'EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
10,['Map'],['VAu000367503 / 1997-05-05 '],['Digital Sanborn maps for Arizona.'],"['Arizona : vol. CD255 / Environmental Data Resources, Inc.']",['Arizona'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc. (employer for hire)']",['1996'],[],['Preexisting material: prev. pub. maps.'],['New Matter: editing and new organization of maps.'],[],"['Sanborn maps', 'Digital Sanborn maps for Arizona.']","['Environmental Data Resources, Inc.', 'EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
11,['Text'],"['RE0000793267 / 1998-11-03 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan67  ']",[],"['Astoria, Oregon.  By Sanborn Map Company, Inc.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Astoria, Oregon']",[],"['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[]
12,['Text'],"['RE0000793268 / 1998-11-03 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan69  ']",[],"['Astoria, Oregon.  By Sanborn Map Company, Inc.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Astoria, Oregon']",[],"['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[]
13,['Text'],"['RE0000794205 / 1998-12-08 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1969-01-01  ']",[],"['Bloomington, Illinois.  By Sanborn Map Company.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Bloomington, Illinois']",[],"['Sanborn Map Company', 'EDR Sanborn, Inc.']",['Sanborn map'],[],[],[]
14,['Map'],['VA0000936891 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 13, 1993; Sanborn fire insurance map.']","['Borough of Brooklyn, city of New York : vol. 13.']",['Brooklyn'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1993'],['1993-02-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, city of New York : vol. 13.']","['Sanborn map, Brooklyn, New York, vol. 13, 1993', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc.']",[]
15,['Map'],['VA0000936843 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 10A, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 10A.']",['Brooklyn'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1992'],['1992-05-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 10A.']","['Sanborn map, Brooklyn, New York, vol. 10A, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
16,['Map'],['VA0000936810 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 14, 1994; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 14.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1994'],['1994-06-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 14.']","['Sanborn map, Brooklyn, New York, vol. 14, 1994', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
17,['Map'],['VA0000936841 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 14, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 14.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-07-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 14.']","['Sanborn map, Brooklyn, New York, vol. 14, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
18,['Map'],['VA0000936869 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 15, 1993; Sanborn fire insurance map.']","['Borough of Brooklyn, city of NY : vol. 15.']",['Brooklyn'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1993'],['1993-03-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, city of NY : vol. 15.']","['Sanborn map, Brooklyn, New York, vol. 15, 1993', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc.']",[]
19,['Map'],['VA0000936809 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 15, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 15.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-06-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 15.']","['Sanborn map, Brooklyn, New York, vol. 15, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
20,['Map'],['VA0000936831 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 16, 1995; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 16.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1994'],['1994-04-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 16.']","['Sanborn map, Brooklyn, New York, vol. 16, 1995', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
21,['Map'],['VA0000936834 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 16, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 16.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-07-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 16.']","['Sanborn map, Brooklyn, New York, vol. 16, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
22,['Map'],['VA0000936801 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 16, 1991; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 16.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1991'],['1991-02-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 16.']","['Sanborn map, Brooklyn, New York, vol. 16, 1991', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
23,['Map'],['VA0000936805 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 18, 1993; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 18.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1993'],['1993-05-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 18.']","['Sanborn map, Brooklyn, New York, vol. 18, 1993', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
24,['Map'],['VA0000936804 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 18, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 18.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-06-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 18.']","['Sanborn map, Brooklyn, New York, vol. 18, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
25,['Map'],['VA0000936842 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 19, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 19.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-06-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 19.']","['Sanborn map, Brooklyn, New York, vol. 19, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
26,['Map'],['VA0000936888 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 6, 1993; Sanborn fire insurance map.']","['Borough of Brooklyn, city of NY : vol. 6.']",['Brooklyn'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1993'],['1993-11-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, city of NY : vol. 6.']","['Sanborn map, Brooklyn, New York, vol. 6, 1993', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
27,['Map'],['VA0000936803 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 6, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 6.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-12-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 6.']","['Sanborn map, Brooklyn, New York, vol. 6, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
28,['Map'],['VA0000936807 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 8, 1995; Sanborn fire insurance map.']","['Borough of Brooklyn, City of NY : vol. 8.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-03-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, City of NY : vol. 8.']","['Sanborn map, Brooklyn, New York, vol. 8, 1995', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
29,['Map'],['VA0000936798 / 1998-12-28 '],"['Sanborn map, Brooklyn, New York, vol. 7, 1992; Sanborn fire insurance map.']","['Borough of Brooklyn, NY : vol. 7.']",['Brooklyn'],[],['4 p.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-03-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Brooklyn, NY : vol. 7.']","['Sanborn map, Brooklyn, New York, vol. 7, 1992', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
30,['Map'],['VA0000936833 / 1998-12-28 '],"['Sanborn map, Richmond-Staten Island, New York, vol. 1, 1991; Sanborn fire insurance map.']","['Borough of Richmond-Staten Island, NY : vol. 1.']","['Richmond-Staten Island, NY']",[],['5 p.'],[],"['EDR Sanborn, Inc.']",['1991'],['1991-06-01  '],['Preexsisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Borough of Richmond-Staten Island, NY : vol. 1.']","['Sanborn map, Richmond-Staten Island, New York, vol. 1, 1991', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company.']",[],['C.O. correspondence.'],['map: Sanborn Map Company.'],[]
31,['Map'],['VA0000936894 / 1998-12-28 '],"['Sanborn map Brooklyn, New York; Sanborn fire insurance map.']","['Brooklyn, New York : vol. 10A.']",['Brooklyn'],[],['Map.'],[],"['EDR Sanborn, Inc.']",['1995'],['1995-12-01  '],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],"['Brooklyn, New York : vol. 10A']","['Sanborn map Brooklyn, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",[],['C.O. correspondence.'],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Rev. Dec. 1995.']
32,['Map'],['VA0000936910 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Brooklyn, New York : vol. 13.']",['Brooklyn'],[],['Map.'],[],"['EDR Sanborn, Inc.']",['1992'],['1992-06-01  '],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],"['Brooklyn, New York : vol. 13']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map & technical drawing: Sanborn Map Company, Inc., employer for hire.']",[]
33,['Map'],['VA0000936893 / 1998-12-28 '],"['Sanborn map Brooklyn, New York; Sanborn fire insurance map.']","['Brooklyn, New York : vol. 19.']",['Brooklyn'],[],['Map.'],[],"['EDR Sanborn, Inc.']",['1991'],['1991-06-05  '],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],"['Brooklyn, New York : vol. 19']","['Sanborn map Brooklyn, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map & technical drawing: Sanborn Map Company, Inc., employer for hire.']",['Rev. 1991.']
34,['Text'],"['RE0000790148 / 1998-08-24 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']",[],"['Burbank, California.  Vol. 2N.  By Sanborn Map Company, Inc.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Burbank, California.']",[],"['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[]
35,['Text'],"['RE0000790164 / 1998-08-24 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']",[],"['Burbank, California.  Vol. 9N.  By Sanborn Map Company, Inc.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Burbank, California']",[],"['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[]
36,['Map'],['VA0001058456 / 1998-11-03 '],"['Sanborn map, Burlington, VT, 1989; Sanborn fire insurance map.']","['Burlington, Vt.']","['Burlington, VT']",[],[],[],"['EDR Sanborn, Inc.']",['1989'],['1989-09-01  '],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map & cartographic compilation.'],[],"['Sanborn map, Burlington, VT, 1989', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['Sanborn Map Company, Inc., employer for hire.']",['Rev. Sept. 1989.']
37,['Map'],['VAu000383604 / 1997-03-21 '],['Digital Sanborn maps for California.'],"['California : vol. CD16 / Environmental Data Resources, Inc.']",['California'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc. (employer for hire)']",['1996'],[],['Preexisting material: prev. pub. maps.'],['New Matter: editing and new organization of maps.'],[],"['Sanborn maps', 'Digital Sanborn maps for California']","['Environmental Data Resources, Inc.', 'EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
38,['Map'],['VA0001058452 / 1998-11-03 '],"['Sanborn map, Charleston, VW, vol. 1, 1989; Sanborn fire insurance map.']","['Charleston, W. VA : vol. 1.']","['Charleston, WV']",[],[],[],"['EDR Sanborn, Inc.']",['1989'],['1989-11-01  '],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map & cartographic compilation.'],"['Charleston, W. VA : vol. 1']","['Sanborn map, Charleston, VW, vol. 1, 1989', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['Sanborn Map Company, Inc., employer for hire.']",['Rev. Nov. 1989.']
39,['Map'],['VA0000901220 / 1998-05-28 '],"['EDR Sanborn color digital maps--Chicago, IL.']","['Chicago, Illinois : vol. 11 : no. 1896.']",['Chicago'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VAu 383-601.']",['New Matter: compilation & additional artwork.'],"['Chicago, Illinois : vol. 11']","['Sanborn maps', 'EDR Sanborn color digital maps--Chicago, IL']","['EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
40,['Map'],['VA0000936848 / 1998-08-24 '],"['Sanborn map, Cincinnati, Ohio, vol. 1; Sanborn fire insurance map.']","['Cincinnati, Ohio : vol. 1.']",['Cincinnati'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1981'],['1981-05-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Cincinnati, Ohio : vol. 1.']","['Sanborn map, Cincinnati, Ohio, vol. 1', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc., employer for hire.']",['Rev. May 1981.']
41,['Map'],['VA0000936857 / 1998-08-24 '],"['Sanborn map, Cincinnati, Ohio, vol. 10.']","['Cincinnati, Ohio : vol. 10.']",['Cincinnati'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1981'],['1981-05-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Cincinnati, Ohio : vol. 10.']","['Sanborn map, Cincinnati, Ohio, vol. 10.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc., employer for hire.']",['Rev. May 1981.']
42,['Map'],['VA0000936854 / 1998-08-24 '],"['Sanborn map, Cincinnati, Ohio, vol. 11.']","['Cincinnati, Ohio : vol. 11.']",['Cincinnati'],[],['5 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1981'],['1981-05-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Cincinnati, Ohio : vol. 11.']","['Sanborn map, Cincinnati, Ohio, vol. 11.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc., employer for hire.']",['Rev. May 1981.']
43,['Map'],['VA0000936855 / 1998-08-24 '],"['Sanborn map, Cincinnati, Ohio, vol. 5.']","['Cincinnati, Ohio : vol. 5.']",['Cincinnati'],[],['5 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1981'],['1981-04-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Cincinnati, Ohio : vol. 5.']","['Sanborn map, Cincinnati, Ohio, vol. 5.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc., employer for hire.']",['Rev. Apr. 1981.']
44,['Map'],['VA0000936850 / 1998-08-24 '],"['Sanborn map, Cincinnati, Ohio, vol. 6; Sanborn fire insurance map.']","['Cincinnati, Ohio : vol. 6.']",['Cincinnati'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1981'],['1981-05-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Cincinnati, Ohio : vol. 6.']","['Sanborn map, Cincinnati, Ohio, vol. 6', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc., employer for hire.']",['Rev. May 1981.']
45,['Map'],['VA0000936849 / 1998-08-24 '],"['Sanborn map, Cincinnati, Ohio, vol. 7; Sanborn fire insurance map.']","['Cincinnati, Ohio : vol. 7.']",['Cincinnati'],[],['4 p.'],['Maps.'],"['EDR Sanborn, Inc.']",['1981'],['1981-05-01  '],['Preesisting material: prev. pub. maps.'],['New Matter: new & rev. map and cartographic compilation.'],"['Cincinnati, Ohio : vol. 7.']","['Sanborn map, Cincinnati, Ohio, vol. 7', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company, Inc.']",[],['C.O. correspondence.'],"['map: Sanborn Map Company, Inc., employer for hire.']",['Rev. May 1981.']
